city,date,player_of_match,team1,team2,toss_winner,toss_decision,winner,result,result_margin
Jaipur,11-04-2019,MS Dhoni,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,wickets,4
Kolkata,12-04-2019,S Dhawan,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,wickets,7
Chandigarh,13-04-2019,AB de Villiers,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,wickets,8
Mumbai,13-04-2019,JC Buttler,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,4
Hyderabad,14-04-2019,KMA Paul,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,field,Delhi Capitals,runs,39
Kolkata,14-04-2019,Imran Tahir,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,wickets,5
Mumbai,15-04-2019,SL Malinga,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,field,Mumbai Indians,wickets,5
Chandigarh,16-04-2019,R Ashwin,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,Kings XI Punjab,runs,12
Hyderabad,17-04-2019,DA Warner,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,bat,Sunrisers Hyderabad,wickets,6
Delhi,18-04-2019,HH Pandya,Delhi Capitals,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,runs,40
Kolkata,19-04-2019,V Kohli,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,field,Royal Challengers Bangalore,runs,10
Delhi,20-04-2019,SS Iyer,Delhi Capitals,Kings XI Punjab,Delhi Capitals,field,Delhi Capitals,wickets,5
Jaipur,20-04-2019,SPD Smith,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,field,Rajasthan Royals,wickets,5
Bangalore,21-04-2019,PA Patel,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Royal Challengers Bangalore,runs,1
Hyderabad,21-04-2019,KK Ahmed,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,field,Sunrisers Hyderabad,wickets,9
Jaipur,22-04-2019,RR Pant,Rajasthan Royals,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,wickets,6
Chennai,23-04-2019,SR Watson,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,field,Chennai Super Kings,wickets,6
Bangalore,24-04-2019,AB de Villiers,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,Royal Challengers Bangalore,runs,17
Kolkata,25-04-2019,VR Aaron,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,3
Chennai,26-04-2019,RG Sharma,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,field,Mumbai Indians,runs,46
Jaipur,27-04-2019,JD Unadkat,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,field,Rajasthan Royals,wickets,7
Delhi,28-04-2019,S Dhawan,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,bat,Delhi Capitals,runs,16
Kolkata,28-04-2019,AD Russell,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Kolkata Knight Riders,runs,34
Hyderabad,29-04-2019,DA Warner,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,Sunrisers Hyderabad,runs,45
Bangalore,30-04-2019,NA,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,NA,NA,NA
Chennai,01-05-2019,MS Dhoni,Chennai Super Kings,Delhi Capitals,Delhi Capitals,field,Chennai Super Kings,runs,80
Mumbai,02-05-2019,JJ Bumrah,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,Mumbai Indians,tie,NA
Chandigarh,03-05-2019,Shubman Gill,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,7
Bangalore,04-05-2019,SO Hetmyer,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,field,Royal Challengers Bangalore,wickets,4
Delhi,04-05-2019,A Mishra,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,bat,Delhi Capitals,wickets,5
Chandigarh,05-05-2019,KL Rahul,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,field,Kings XI Punjab,wickets,6
Mumbai,05-05-2019,HH Pandya,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Mumbai Indians,wickets,9
Chennai,07-05-2019,SA Yadav,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,bat,Mumbai Indians,wickets,6
Visakhapatnam,08-05-2019,RR Pant,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,field,Delhi Capitals,wickets,2
